"1260166644341.txt";"TRANSCRIPTION: [breath] ja also es ist schlecht [pause] mit dem Telekom also wir werden einfach *abgeschaltet* [breath] und es wird keine richtige Beratung erfolgt [breath] wir haben ein $N $T $B [pause] $A Gerät bekommen aber das funktioniert nicht mit dem analog [pause] Telefonen die wir haben man hat uns kein nicht gesagt dass wir *ein* [fragment] *ein* ISDN [fragment] @hes@ Gerät noch benötigen und jetzt warte ich schon lange damit ich weiter verbunden werde die Warteschleifen sind *so* lange";"a";1;
"1260167126061.txt";"TRANSCRIPTION: [breath] ich habe ein Problem mit dem Endgerät und zwar mit dem Speedboard $W fünf hundert drei und dieses Gerät zeigt alle möglichen blinkenden Lampen an aber ich kriege überhaupt keinen Berater zur Hand ich warte jetzt schon so lange und es kommt niemand ans Telefon [breath] weiter [vocal]";1;"a";
"1260168326341.txt";"TRANSCRIPTION: ich hab' so eben mit dem Herrn [nachn] aus Erfurt telefoniert und er konnte mir sehr helfen er war freundlich und kompetent das ist an sich alles";0;;
"1260169048085.txt";"TRANSCRIPTION: ich wurde weiter verbunden und @hes@ *jemand* hob ab und dann ist direkt @hes@ die Bewertung gekommen";"a";;
"1260169048335.txt";"TRANSCRIPTION: [fragment] [pause] weiter";0;;
"1260169168379.txt";"TRANSCRIPTION: weiter";0;;
"1260169168633.txt";"TRANSCRIPTION: [vocal] bin seit $X Jahren @hes@ Kunde bei der Telekom und @hes@ jetzt hatte man am Wochenende in der Allgemeinen Zeitung hier [fragment] in [fragment] Hannover die Annonce [breath] dass der Tarif Call surf Comfort auf vier und dreißig fünf und neunzig @hes@ gegangen ist [breath] aber ich davon noch nicht @hes@ keinen Nutzen hab' weil ich @hes@ weil mein Vertrag bis Mai nächsten Jahres also sprich zwei tausend zehn läuft [breath] und damit bin ich gar nicht einverstanden denn ich bin der Meinung wenn *sie* alle dann sollten sie die auch die langjährigen Kunden @hes@ auch damit @hes@ @hes@ rein nehmen in diese Leistung danke schön";1;;
"1260169288688.txt";"TRANSCRIPTION: [vocal] [breath] @hes@";0;;
"1260169528886.txt";"TRANSCRIPTION: weiter";0;;
"1260169529145.txt";"TRANSCRIPTION: [vocal] ich war sehr zufrieden die Dame war sehr nett und freundlich";0;;
"1260169649179.txt";"TRANSCRIPTION: [vocal] [pause] weiter";0;;
"1260170009423.txt";"TRANSCRIPTION: [vocal] [vocal] es war okay so und außerdem eine ganz charmante Stimme zum frühen Morgen danke [pause] weiter";0;;
"1260170009654.txt";"TRANSCRIPTION: weiter";0;;
"1260170249702.txt";"TRANSCRIPTION: weiter [pause] weiter [noise]";0;;
"1260170369937.txt";"TRANSCRIPTION: der Mitarbeiter war sehr unfreundlich [noise]";"d";;
"1260170370181.txt";"TRANSCRIPTION: [breath] Störung [pause] das Telefon funktioniert nicht mehr";3;;
"1260170490219.txt";"TRANSCRIPTION: das Gespräch war für mich sehr hilfreich der Mitarbeiter hat mich gut beraten [vocal] alle meine Fragen konnten geklärt werden";0;;
"1260170730440.txt";"TRANSCRIPTION: [fragment] war alles *nichts* Menschens *Kinders*";0;;
"1260170850632.txt";"TRANSCRIPTION: der Mitarbeiter war sehr freundlich und hat mich sehr zuvorkommen @hes@ bedient [breath] meine Frage wurde beantwortet und ich bin äußerst zufrieden";0;;
"1260170970905.txt";"TRANSCRIPTION: *ich* hab' jetzt *eine* halbe Stunde aufs Gespräch gewartet und in nicht verbunden worden es ist eine Schweinerei";"a";"e";
"1260171331303.txt";"TRANSCRIPTION: ja ich bin sehr unzufrieden mit dem [vocal] Verhalten bezüglich der Mahngebühren die es ja auf Grund einer Kontoänderung die ich der T-Mobile mitgeteilt habe die aber bei T-Mobile nicht verarbeitet worden ist offensichtlich dass ich diese [fragment] Mahngebühren @hes@ hier bezahlen muss @hes@ ich hab' dem jetzt erstmal leider zustimmen müssen um den ganzen bezahl [fragment] Prozess einzuhalten aber das @hes@ Service Verhalten der T-Mobile ist in diesem Falle äußerst unbefriedigend";4;;
"1260171572940.txt";"TRANSCRIPTION: [fragment]";0;;
"1260171933133.txt";"TRANSCRIPTION: [fragment] [noise] äußerst zufrieden [noise]";0;;
"1260172173442.txt";"TRANSCRIPTION: [breath] heute war ich @hes@ mit der Mitarbeiterin sehr zufrieden im Gegensatz zu meinen vorherigen Anrufen da hab' ich [fragment] böse Sachen erlebt und wo ich einfach [breath] hängen gelassen worden bin da war allerdings nicht die Möglichkeit dass man @hes@ sich derart äußern konnte [pause] das war am Mittwoch Abend [breath]";"d";;
"1260172293768.txt";"TRANSCRIPTION: [breath] ich versteh' diese ganze Prozedur nicht also ich @hes@ ich habe *Widerruf* eingelegt und hänge jetzt einige Male schon in Ihrer Hotline [breath] bekomme Pakte geschickt nach diesem Termin ich kann das nicht nachvollziehen und das ist für mich kein Kundenservice [pause] weiter";1;;
"1260172415455.txt";"TRANSCRIPTION: ich möchte einfach nur vernünftig informiert werden und wissen wie so etwas zustande kommt mehr nicht";1;;
"1260172535680.txt";"TRANSCRIPTION: weiter";0;;
"1260172655908.txt";"TRANSCRIPTION: [noise]";0;;
"1260172896252.txt";"TRANSCRIPTION: also ich bin mehr als *unzufrieden* seit sechs *Monaten haben Sie meine *Zugangsdaten* und wollen sie mir nicht geben und seit sechs Monaten zahle ich Internet umsonst also ich find' Euch wirklich unverschämt mittlerweile";1;;
"1260173136552.txt";"TRANSCRIPTION: die Kollegin war sehr bemüht um mein Problem [pause] @hes@ es sie kann aber nichts dafür das wir kein schnelleres Internet bekommen so wie das die Frau Merkel gerne möchte für alle die auf *dem* Land wohnen das liegt wohl an Ihrer Firma schaffen Sie in schnelleres Internet auf dem Dorf [pause] weiter";1;;
"1260173378271.txt";"TRANSCRIPTION: weiter";0;;
